len(train) = 73875
len(test) = 9234
len(dev) = 9234
/home/martoko/Code/adversarial-text-generation/reader_sentences.py:161: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  padded[j, range(lengths[j])] = torch.tensor(batch[j], dtype=torch.long)
Starting Training Loop...
[0/10][0/18135]	Loss_D: 2.4002	Loss_G: 0.2754	D(x): 0.8046	D(G(z)): 0.8461 / 0.7864
fluid fluid missing stick fluid missing that boats middle fluid suddenly maybe where've dry maybe
[0/10][50/18135]	Loss_D: 3.1546	Loss_G: 0.1241	D(x): 0.3113	D(G(z)): 0.8896 / 0.8846
[0/10][100/18135]	Loss_D: 3.3984	Loss_G: 0.1181	D(x): 0.2550	D(G(z)): 0.8998 / 0.8918
[0/10][150/18135]	Loss_D: 3.8095	Loss_G: 0.1211	D(x): 0.1107	D(G(z)): 0.8281 / 0.8865
[0/10][200/18135]	Loss_D: 2.9738	Loss_G: 0.3268	D(x): 0.1714	D(G(z)): 0.8088 / 0.7461
[0/10][250/18135]	Loss_D: 2.5285	Loss_G: 0.5063	D(x): 0.2054	D(G(z)): 0.7576 / 0.6352
[0/10][300/18135]	Loss_D: 2.1668	Loss_G: 0.5889	D(x): 0.1664	D(G(z)): 0.5913 / 0.5766
[0/10][350/18135]	Loss_D: 1.9449	Loss_G: 0.5830	D(x): 0.2273	D(G(z)): 0.6165 / 0.5823
[0/10][400/18135]	Loss_D: 1.7847	Loss_G: 0.6994	D(x): 0.2319	D(G(z)): 0.5522 / 0.4993
[0/10][450/18135]	Loss_D: 2.6008	Loss_G: 0.5502	D(x): 0.1329	D(G(z)): 0.5997 / 0.5808
[0/10][500/18135]	Loss_D: 1.6087	Loss_G: 0.4292	D(x): 0.2650	D(G(z)): 0.4910 / 0.6549
see receptionist calls calls stowaway to fifties fifties calls annually stupid interpreter subtitled subtitled mercury
[0/10][550/18135]	Loss_D: 1.6857	Loss_G: 0.5935	D(x): 0.2423	D(G(z)): 0.4840 / 0.5675
[0/10][600/18135]	Loss_D: 1.6869	Loss_G: 0.5953	D(x): 0.2303	D(G(z)): 0.4474 / 0.5638
[0/10][650/18135]	Loss_D: 1.8436	Loss_G: 0.5929	D(x): 0.2304	D(G(z)): 0.4310 / 0.5621
[0/10][700/18135]	Loss_D: 2.1323	Loss_G: 1.0199	D(x): 0.1962	D(G(z)): 0.5058 / 0.3694
[0/10][750/18135]	Loss_D: 1.7002	Loss_G: 0.5548	D(x): 0.2498	D(G(z)): 0.5298 / 0.5795
[0/10][800/18135]	Loss_D: 1.7959	Loss_G: 0.9030	D(x): 0.2791	D(G(z)): 0.5000 / 0.4257
[0/10][850/18135]	Loss_D: 1.8162	Loss_G: 0.6141	D(x): 0.2012	D(G(z)): 0.5054 / 0.5446
[0/10][900/18135]	Loss_D: 1.4125	Loss_G: 0.6400	D(x): 0.2968	D(G(z)): 0.4843 / 0.5287
[0/10][950/18135]	Loss_D: 1.5177	Loss_G: 0.7573	D(x): 0.2274	D(G(z)): 0.4513 / 0.4772
[0/10][1000/18135]	Loss_D: 1.6085	Loss_G: 0.6343	D(x): 0.2499	D(G(z)): 0.4518 / 0.5546
. . he calls pressure , fifties restless slimming restless slipped stupid subtitled subtitled restless
[0/10][1050/18135]	Loss_D: 1.6752	Loss_G: 0.4216	D(x): 0.2641	D(G(z)): 0.5586 / 0.6567
[0/10][1100/18135]	Loss_D: 1.5479	Loss_G: 0.5698	D(x): 0.2346	D(G(z)): 0.4947 / 0.5727
[0/10][1150/18135]	Loss_D: 1.5588	Loss_G: 0.6466	D(x): 0.2118	D(G(z)): 0.4397 / 0.5318
[0/10][1200/18135]	Loss_D: 1.6202	Loss_G: 0.5542	D(x): 0.2576	D(G(z)): 0.5408 / 0.5769
[0/10][1250/18135]	Loss_D: 1.5738	Loss_G: 0.7259	D(x): 0.2200	D(G(z)): 0.4816 / 0.4845
[0/10][1300/18135]	Loss_D: 1.7167	Loss_G: 0.7364	D(x): 0.2854	D(G(z)): 0.6553 / 0.4839
[0/10][1350/18135]	Loss_D: 1.2167	Loss_G: 0.7937	D(x): 0.3078	D(G(z)): 0.4306 / 0.4752
[0/10][1400/18135]	Loss_D: 1.4055	Loss_G: 0.5207	D(x): 0.2418	D(G(z)): 0.4293 / 0.6012
[0/10][1450/18135]	Loss_D: 1.6209	Loss_G: 0.8380	D(x): 0.2573	D(G(z)): 0.5625 / 0.4410
[0/10][1500/18135]	Loss_D: 1.5734	Loss_G: 0.6298	D(x): 0.2288	D(G(z)): 0.5004 / 0.5331
you voracious tariff he slurred , his restless restless restless slipped subtitled subtitled subtitled restless
[0/10][1550/18135]	Loss_D: 1.6064	Loss_G: 0.5608	D(x): 0.2215	D(G(z)): 0.4973 / 0.5783
[0/10][1600/18135]	Loss_D: 1.3875	Loss_G: 0.7508	D(x): 0.2788	D(G(z)): 0.5238 / 0.4737
[0/10][1650/18135]	Loss_D: 1.7171	Loss_G: 0.7952	D(x): 0.2115	D(G(z)): 0.5024 / 0.4672
[0/10][1700/18135]	Loss_D: 1.3874	Loss_G: 0.6651	D(x): 0.3040	D(G(z)): 0.5455 / 0.5149
