/home/martoko/Code/adversarial-text-generation/reader_sentences.py:147: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  padded[j, range(lengths[j])] = torch.tensor(batch[j], dtype=torch.long)
Starting Training Loop...
[0/10][0/18135]	Loss_D: 1.5973	Loss_G: 0.8754	D(x): 0.5177	D(G(z)): 0.5617 / 0.4350
infuriated grandchild wakahata congratulated politeness dublin contends infuriated deceptive well-organized contends cardigan rubbing idle dimension
[0/10][50/18135]	Loss_D: 1.5136	Loss_G: 0.8929	D(x): 0.3152	D(G(z)): 0.5817 / 0.4647
[0/10][100/18135]	Loss_D: 3.4105	Loss_G: 0.6855	D(x): 0.1041	D(G(z)): 0.6894 / 0.5424
[0/10][150/18135]	Loss_D: 1.5951	Loss_G: 0.6532	D(x): 0.2218	D(G(z)): 0.4508 / 0.5514
[0/10][200/18135]	Loss_D: 1.8077	Loss_G: 0.6426	D(x): 0.2660	D(G(z)): 0.5955 / 0.5321
[0/10][250/18135]	Loss_D: 1.8020	Loss_G: 0.6090	D(x): 0.2431	D(G(z)): 0.5321 / 0.5646
[0/10][300/18135]	Loss_D: 2.6325	Loss_G: 0.6765	D(x): 0.1822	D(G(z)): 0.5390 / 0.5211
[0/10][350/18135]	Loss_D: 1.8668	Loss_G: 0.6281	D(x): 0.2546	D(G(z)): 0.6018 / 0.5362
[0/10][400/18135]	Loss_D: 1.8773	Loss_G: 0.7209	D(x): 0.2158	D(G(z)): 0.5120 / 0.4987
[0/10][450/18135]	Loss_D: 1.5129	Loss_G: 0.8335	D(x): 0.2889	D(G(z)): 0.5321 / 0.4386
[0/10][500/18135]	Loss_D: 1.4745	Loss_G: 0.5452	D(x): 0.2561	D(G(z)): 0.4061 / 0.5826
unhealthy unsuccessful forewarned lives merchandise imprisoned imprisoned logic imprisoned imprisoned darkness cemetery cemetery lies healthcare
[0/10][550/18135]	Loss_D: 1.4700	Loss_G: 1.0991	D(x): 0.2631	D(G(z)): 0.3787 / 0.3419
[0/10][600/18135]	Loss_D: 1.7371	Loss_G: 0.6696	D(x): 0.2213	D(G(z)): 0.4946 / 0.5183
[0/10][650/18135]	Loss_D: 1.4831	Loss_G: 0.7373	D(x): 0.2767	D(G(z)): 0.5007 / 0.4950
[0/10][700/18135]	Loss_D: 1.5243	Loss_G: 0.8877	D(x): 0.2248	D(G(z)): 0.4289 / 0.4179
[0/10][750/18135]	Loss_D: 1.4601	Loss_G: 0.6819	D(x): 0.2355	D(G(z)): 0.4083 / 0.5071
[0/10][800/18135]	Loss_D: 1.1325	Loss_G: 0.7741	D(x): 0.3208	D(G(z)): 0.4593 / 0.4715
[0/10][850/18135]	Loss_D: 1.8140	Loss_G: 0.9402	D(x): 0.2664	D(G(z)): 0.6645 / 0.4042
[0/10][900/18135]	Loss_D: 1.5769	Loss_G: 0.8300	D(x): 0.2082	D(G(z)): 0.4116 / 0.4424
[0/10][950/18135]	Loss_D: 0.2942	Loss_G: 3.0389	D(x): 0.4689	D(G(z)): 0.1966 / 0.0521
[0/10][1000/18135]	Loss_D: 0.6765	Loss_G: 3.5833	D(x): 0.4972	D(G(z)): 0.4314 / 0.0294
napoleon's napoleon's napoleon's darkness designated designated literature literature literature literature designated designated designated designated designated
[0/10][1050/18135]	Loss_D: 1.1215	Loss_G: 1.9910	D(x): 0.2783	D(G(z)): 0.2125 / 0.1528
[0/10][1100/18135]	Loss_D: 1.0010	Loss_G: 2.9417	D(x): 0.3745	D(G(z)): 0.4694 / 0.0579
[0/10][1150/18135]	Loss_D: 0.3155	Loss_G: 3.9224	D(x): 0.4465	D(G(z)): 0.1507 / 0.0214
[0/10][1200/18135]	Loss_D: 0.4741	Loss_G: 2.3012	D(x): 0.4238	D(G(z)): 0.2068 / 0.1354
[0/10][1250/18135]	Loss_D: 0.1156	Loss_G: 3.7079	D(x): 0.4859	D(G(z)): 0.0708 / 0.0315
[0/10][1300/18135]	Loss_D: 1.9837	Loss_G: 3.9194	D(x): 0.4993	D(G(z)): 0.5995 / 0.0269
[0/10][1350/18135]	Loss_D: 0.8058	Loss_G: 1.1930	D(x): 0.3601	D(G(z)): 0.1653 / 0.4512
[0/10][1400/18135]	Loss_D: 0.3583	Loss_G: 3.0040	D(x): 0.5057	D(G(z)): 0.2275 / 0.0524
[0/10][1450/18135]	Loss_D: 0.2954	Loss_G: 1.0751	D(x): 0.4884	D(G(z)): 0.2060 / 0.4188
[0/10][1500/18135]	Loss_D: 0.4039	Loss_G: 2.5377	D(x): 0.4517	D(G(z)): 0.2391 / 0.0903
moat designate designate designate vinegar toe proof proof proof proof proof caved caved caved caved
[0/10][1550/18135]	Loss_D: 1.3718	Loss_G: 1.3870	D(x): 0.3110	D(G(z)): 0.3973 / 0.3534
[0/10][1600/18135]	Loss_D: 0.5293	Loss_G: 2.3118	D(x): 0.4990	D(G(z)): 0.3875 / 0.1199
[0/10][1650/18135]	Loss_D: 1.0151	Loss_G: 2.6253	D(x): 0.4213	D(G(z)): 0.4679 / 0.1373
[0/10][1700/18135]	Loss_D: 1.4886	Loss_G: 0.7652	D(x): 0.1978	D(G(z)): 0.1540 / 0.4914
[0/10][1750/18135]	Loss_D: 0.7842	Loss_G: 2.7239	D(x): 0.4148	D(G(z)): 0.3960 / 0.1016
[0/10][1800/18135]	Loss_D: 0.4905	Loss_G: 2.4730	D(x): 0.3869	D(G(z)): 0.0478 / 0.1844
[0/10][1850/18135]	Loss_D: 1.3805	Loss_G: 3.0328	D(x): 0.3290	D(G(z)): 0.3135 / 0.0633
[0/10][1900/18135]	Loss_D: 0.5285	Loss_G: 3.0208	D(x): 0.4089	D(G(z)): 0.2022 / 0.0749
[0/10][1950/18135]	Loss_D: 1.2641	Loss_G: 1.3760	D(x): 0.2984	D(G(z)): 0.2850 / 0.2739
[0/10][2000/18135]	Loss_D: 1.6284	Loss_G: 5.1096	D(x): 0.3608	D(G(z)): 0.5445 / 0.0076
communicated communicated despise melons manager's manager's manager's manager's manager's elbow elbow scrupulous dripping word word
[0/10][2050/18135]	Loss_D: 0.6550	Loss_G: 2.1480	D(x): 0.3266	D(G(z)): 0.0925 / 0.1651
[0/10][2100/18135]	Loss_D: 0.3750	Loss_G: 3.2166	D(x): 0.3804	D(G(z)): 0.0328 / 0.0558
[0/10][2150/18135]	Loss_D: 0.6610	Loss_G: 3.9837	D(x): 0.4176	D(G(z)): 0.2696 / 0.0310
